freq,Awake_DP,Awake_NFd,Sed_DP_11.36,Sed_NF_11.36,Sed_DP_12.15,Sed_NF_12.15,Sed_DP_12.53,Sed_NF_12.53,Sed_DP_13.13,Sed_NF_13.13,Awake_SF,Awake_NFs,Sed_SF_11.43,Sed_NF_11.43,Sed_SF_12.23,Sed_NF_12.23,Sed_SF_13.02,Sed_NF_13.02,Sed_SF_13.39,Sed_NF_13.39,Awake_phase,Sed_phase_11.43,Sed_phase_12.23,Sed_phase_13.02,Sed_phase_13.39
1.440349364,25.6076559,-25.75562939,30.00034167,-24.37807823,30.75344237,-30.17053706,29.11947027,-15.39403506,30.76028608,-20.61474191,4.222349084,-26.88575079,10.83005964,-23.8799013,10.98443381,-26.29655709,9.471201952,-14.03557585,10.65963012,-18.51484021,-0.744568904,-0.737366126,-0.743271431,-0.734369587,-0.720729139
1.450151393,25.7133142,-23.24833697,29.63237967,-26.75514887,30.38407132,-32.21864791,28.79557305,-15.67095241,30.39774549,-23.3927654,4.381435431,-35.80155482,10.58874733,-25.7106072,10.7158816,-27.35254704,9.248248098,-15.11245161,10.28310023,-21.63026706,-0.760324055,-0.752039104,-0.757360296,-0.747960314,-0.735243373
1.460020128,25.74872829,-21.88616595,29.59496731,-30.39708376,30.34627816,-30.7358507,28.80137736,-16.03029614,30.36801273,-27.46484003,4.508137325,-32.84642922,10.61838405,-28.05122584,10.71290825,-27.8846514,9.285514787,-14.3124568,10.17624956,-26.57543962,-0.776155877,-0.766696894,-0.771532151,-0.761496319,-0.750204644
1.469956023,25.72703955,-21.17613243,29.87154756,-38.7417415,30.62438248,-28.99953704,29.12058469,-16.54148528,30.65488709,-35.45051622,4.614791057,-27.85995636,10.78782264,-29.89842593,10.8510494,-28.13193956,9.464675106,-13.19172533,10.19690693,-31.94429182,-0.792336705,-0.780950074,-0.785676328,-0.774858933,-0.765083278
1.479959535,25.69670681,-20.73606324,30.19626662,-34.95431183,30.9534701,-27.58360625,29.48740586,-17.51469454,30.99251514,-39.80596052,4.779064815,-34.45202501,10.73791838,-28.06413537,10.78856718,-29.72163811,9.459555315,-14.65814201,9.942212195,-26.29860273,-0.81052872,-0.794959529,-0.800464903,-0.788570429,-0.779910788
1.490031123,25.65820188,-20.39069231,30.57695089,-26.62368678,31.34219782,-26.05011613,29.90941846,-18.98879937,31.38833774,-29.32028389,5.057067153,-51.00341933,10.61211098,-26.44135207,10.65802085,-31.67202596,9.375997263,-16.26215546,9.612965442,-22.87387967,-0.828975958,-0.809385875,-0.815724174,-0.802548765,-0.795916863
1.500171253,25.63154987,-20.15304565,30.34627612,-22.96489743,31.12368797,-25.16515316,29.71874652,-21.70097493,31.17428276,-25.84771687,5.35667586,-32.19342271,10.55922051,-25.01747703,10.60901076,-34.17896013,9.360639959,-17.87141313,9.37051364,-20.40703898,-0.847190519,-0.824003765,-0.831187649,-0.816582822,-0.812889075
1.510380389,25.60359326,-20.23424921,30.04826744,-21.13665039,30.84192669,-24.84578958,29.45874424,-25.3303735,30.89348821,-24.41032305,5.730469168,-35.29121824,10.41291103,-25.46370519,10.39423721,-30.22719728,9.286779656,-18.41133628,8.952777533,-21.72930101,-0.866673762,-0.838127894,-0.845573602,-0.831392715,-0.827416207
1.520659001,25.57038932,-20.90362032,29.80996939,-20.36264056,30.62342861,-25.34907069,29.25579772,-30.56643144,30.67220834,-23.97808863,6.109647148,-40.34507647,10.32099926,-26.00567256,10.22921801,-27.1667845,9.277619698,-18.88309399,8.573979658,-22.7769501,-0.885850199,-0.852545316,-0.860458466,-0.846345811,-0.843024998
1.531007562,25.52102729,-22.4980463,29.60093007,-20.35016246,30.43696754,-26.90156751,29.07928585,-39.77977435,30.47968389,-24.17509523,6.47937744,-39.64292333,10.22564952,-26.48434168,10.06562552,-24.87499799,9.268837224,-19.34984887,8.19831374,-22.69457048,-0.904092375,-0.867080508,-0.875711898,-0.861129206,-0.859827091
